packet_index,ground_truth,model_prediction,zasl_label,soam_verdict,soam_action,primary_similarity,secondary_similarity,inf_ms,xai_ms,soam_ms,total_ms
0,TP,Attack,dns.qry.name.len-based-Attribution,SUSPECT Attack (Potential True Positive),HIGH - For Analyst Review,0.8999999999999999,0.8999999999999999,4.71949577331543,2.432584762573242,2.1736621856689453,9.325742721557617
1,TP,Attack,dns.qry.name.len-based-Attribution,SUSPECT Attack (Potential True Positive),HIGH - For Analyst Review,0.8999999999999999,0.8999999999999999,3.3173561096191406,1.596689224243164,2.028226852416992,6.942272186279297
2,TP,Attack,dns.qry.name.len-based-Attribution,SUSPECT Attack (Potential True Positive),HIGH - For Analyst Review,0.8999999999999999,0.8999999999999999,4.342555999755859,1.9240379333496094,2.4039745330810547,8.670568466186523
3,TP,Attack,dns.qry.name.len-based-Attribution,SUSPECT Attack (Potential True Positive),HIGH - For Analyst Review,0.8999999999999999,0.8999999999999999,3.159046173095703,3.319978713989258,2.156496047973633,8.635520935058594
4,TP,Attack,dns.qry.name.len-based-Attribution,SUSPECT Attack (Potential True Positive),HIGH - For Analyst Review,0.8999999999999999,0.8999999999999999,3.8933753967285156,2.538442611694336,1.5015602111816406,7.933378219604492
5,TP,Attack,dns.qry.name.len-based-Attribution,SUSPECT Attack (Potential True Positive),HIGH - For Analyst Review,0.8999999999999999,0.8999999999999999,5.038976669311523,1.5707015991210938,1.89971923828125,8.509397506713867
6,TP,Attack,dns.qry.name.len-based-Attribution,SUSPECT Attack (Potential True Positive),HIGH - For Analyst Review,0.8999999999999999,0.8999999999999999,3.3845901489257812,1.3344287872314453,1.8877983093261719,6.606817245483398
7,TP,Attack,dns.qry.name.len-based-Attribution,SUSPECT Attack (Potential True Positive),HIGH - For Analyst Review,0.8999999999999999,0.8999999999999999,3.7984848022460938,2.6133060455322266,3.519296646118164,9.931087493896484
8,TP,Attack,dns.qry.name.len-based-Attribution,SUSPECT Attack (Potential True Positive),HIGH - For Analyst Review,0.8999999999999999,0.8999999999999999,4.134893417358398,2.564668655395508,1.8069744110107422,8.506536483764648
9,TP,Attack,dns.qry.name.len-based-Attribution,SUSPECT Attack (Potential True Positive),HIGH - For Analyst Review,0.8999999999999999,0.8999999999999999,3.1790733337402344,2.7303695678710938,1.7092227935791016,7.61866569519043
10,TP,Attack,dns.qry.name.len-based-Attribution,SUSPECT Attack (Potential True Positive),HIGH - For Analyst Review,0.8999999999999999,0.8999999999999999,3.2372474670410156,2.476930618286133,1.7514228820800781,7.465600967407227
11,TP,Attack,dns.qry.name.len-based-Attribution,SUSPECT Attack (Potential True Positive),HIGH - For Analyst Review,0.8999999999999999,0.8999999999999999,3.183126449584961,2.437591552734375,1.764535903930664,7.38525390625
12,TP,Attack,dns.qry.name.len-based-Attribution,SUSPECT Attack (Potential True Positive),HIGH - For Analyst Review,0.8999999999999999,0.8999999999999999,3.1936168670654297,2.4683475494384766,1.7514228820800781,7.413387298583984
