packet_index,ground_truth_binary,stress_category,eszsl_prediction,inf_ms,total_ms
0,Attack,TP,DDoS_UDP,0.9824170001593302,0.9824170001593302
1,Attack,TP,DDoS_UDP,4.827800999919418,4.827800999919418
2,Attack,TP,DDoS_UDP,0.7096269996509363,0.7096269996509363
3,Attack,TP,DDoS_UDP,0.7086629998411809,0.7086629998411809
4,Attack,TP,DDoS_UDP,4.705782000200998,4.705782000200998
5,Attack,TP,DDoS_UDP,0.7176429999162792,0.7176429999162792
6,Attack,TP,DDoS_UDP,4.800161999810371,4.800161999810371
7,Attack,TP,DDoS_UDP,0.7040319997031474,0.7040319997031474
8,Attack,TP,DDoS_UDP,0.6645069997830433,0.6645069997830433
9,Attack,TP,DDoS_UDP,4.999422999844683,4.999422999844683
10,Attack,TP,DDoS_UDP,0.6952580001780007,0.6952580001780007
11,Attack,TP,DDoS_UDP,2.748192000126437,2.748192000126437
12,Attack,TP,DDoS_UDP,0.6318900000223948,0.6318900000223948
13,Attack,TP,DDoS_UDP,0.5782359999102482,0.5782359999102482
14,Attack,TP,DDoS_UDP,4.660033000163821,4.660033000163821
15,Attack,TP,DDoS_UDP,0.5871829998795874,0.5871829998795874
16,Attack,TP,DDoS_UDP,0.5312120001690346,0.5312120001690346
17,Attack,TP,DDoS_UDP,4.6425530003944,4.6425530003944
18,Attack,TP,DDoS_UDP,0.6795959998271428,0.6795959998271428
19,Attack,TP,DDoS_UDP,0.5938010003774252,0.5938010003774252
20,Attack,TP,DDoS_UDP,8.757134000006772,8.757134000006772
21,Attack,TP,DDoS_UDP,0.6678400000055262,0.6678400000055262
22,Attack,TP,DDoS_UDP,4.666838000048301,4.666838000048301
23,Attack,TP,DDoS_UDP,0.6592009999621951,0.6592009999621951
26,Attack,TP,DDoS_UDP,0.623923000148352,0.623923000148352
27,Attack,TP,DDoS_UDP,4.682281999976112,4.682281999976112
28,Attack,TP,DDoS_UDP,1.0895969999182853,1.0895969999182853
29,Attack,TP,DDoS_UDP,2.670332999969105,2.670332999969105
32,Attack,TP,DDoS_UDP,2.7039569999942614,2.7039569999942614
33,Attack,TP,DDoS_UDP,2.73512000012488,2.73512000012488
34,Attack,TP,DDoS_UDP,0.6414230001610122,0.6414230001610122
35,Attack,TP,DDoS_UDP,0.7984910002960532,0.7984910002960532
36,Attack,TP,DDoS_UDP,4.680185999859532,4.680185999859532
39,Attack,TP,DDoS_UDP,0.6281930000113789,0.6281930000113789
40,Attack,TP,DDoS_UDP,0.5846629996995034,0.5846629996995034
41,Attack,TP,DDoS_UDP,4.637146999812103,4.637146999812103
42,Attack,TP,DDoS_UDP,0.5594680001195229,0.5594680001195229
43,Attack,TP,DDoS_UDP,0.5306650000420632,0.5306650000420632
44,Attack,TP,DDoS_UDP,4.676529999869672,4.676529999869672
46,Attack,TP,DDoS_UDP,0.6211019999682321,0.6211019999682321
47,Attack,TP,DDoS_UDP,0.5824059999213205,0.5824059999213205
48,Attack,TP,DDoS_UDP,4.692053999860946,4.692053999860946
49,Attack,TP,DDoS_UDP,0.6009440003253985,0.6009440003253985
50,Attack,TP,DDoS_UDP,0.5725800001528114,0.5725800001528114
52,Attack,TP,DDoS_UDP,4.601207000177965,4.601207000177965
54,Attack,TP,DDoS_UDP,0.587712000196916,0.587712000196916
55,Attack,TP,DDoS_UDP,0.572247000036441,0.572247000036441
56,Attack,TP,DDoS_UDP,4.650972000035836,4.650972000035836
57,Attack,TP,DDoS_UDP,0.640752999970573,0.640752999970573
58,Attack,TP,DDoS_UDP,0.5872410001757089,0.5872410001757089
31,Normal,TN,Normal,0.6270799999583687,0.6270799999583687
38,Normal,TN,Normal,0.6164699998407741,0.6164699998407741
441,Normal,TN,Normal,4.6071329998085275,4.6071329998085275
716,Normal,TN,Normal,0.5496670000866288,0.5496670000866288
822,Normal,TN,Normal,0.5687550001312047,0.5687550001312047
825,Normal,TN,Normal,0.5844659999638679,0.5844659999638679
1053,Normal,TN,Normal,0.6024140002409695,0.6024140002409695
1117,Normal,TN,Normal,0.623170999915601,0.623170999915601
1279,Normal,TN,Normal,0.5756159998782095,0.5756159998782095
1581,Normal,TN,Normal,4.650548999961757,4.650548999961757
1588,Normal,TN,Normal,0.6107980002525437,0.6107980002525437
1636,Normal,TN,Normal,0.5790590003016405,0.5790590003016405
1694,Normal,TN,Normal,0.6025900001986884,0.6025900001986884
1755,Normal,TN,Normal,2.7124039997943328,2.7124039997943328
2333,Normal,TN,Normal,2.6543150001998583,2.6543150001998583
2426,Normal,TN,Normal,0.5733970001529087,0.5733970001529087
2511,Normal,TN,Normal,0.5891490000067279,0.5891490000067279
3065,Normal,TN,Normal,4.644680000183143,4.644680000183143
3307,Normal,TN,Normal,0.54160999980013,0.54160999980013
3394,Normal,TN,Normal,0.5628219996651751,0.5628219996651751
3761,Normal,TN,Normal,4.360414000075252,4.360414000075252
3812,Normal,TN,Normal,0.5723750000470318,0.5723750000470318
3930,Normal,TN,Normal,0.5328890001692344,0.5328890001692344
4173,Normal,TN,Normal,0.4893700001957768,0.4893700001957768
4186,Normal,TN,Normal,0.7952599999043741,0.7952599999043741
4189,Normal,TN,Normal,0.6776909999643976,0.6776909999643976
4294,Normal,TN,Normal,0.5465829999593552,0.5465829999593552
4360,Normal,TN,Normal,3.575511000235565,3.575511000235565
4514,Normal,TN,Normal,0.5426299999271578,0.5426299999271578
4805,Normal,TN,Normal,0.5530620001081843,0.5530620001081843
5030,Normal,TN,Normal,0.659684999845922,0.659684999845922
5284,Normal,TN,Normal,0.45797000029779156,0.45797000029779156
5340,Normal,TN,Normal,0.5188139998608676,0.5188139998608676
5581,Normal,TN,Normal,0.5644420002681727,0.5644420002681727
6152,Normal,TN,Normal,0.47691300005681114,0.47691300005681114
6403,Normal,TN,Normal,2.0248699997864605,2.0248699997864605
6619,Normal,TN,Normal,1.4269039997998334,1.4269039997998334
6658,Normal,TN,Normal,0.5616150001515052,0.5616150001515052
6920,Normal,TN,Normal,0.5895469998904446,0.5895469998904446
7036,Normal,TN,Normal,2.6108669999302947,2.6108669999302947
7337,Normal,TN,Normal,0.5429929997262661,0.5429929997262661
7421,Normal,TN,Normal,0.6448439999076072,0.6448439999076072
7450,Normal,TN,Normal,4.68038200006049,4.68038200006049
7777,Normal,TN,Normal,0.6197640000209503,0.6197640000209503
7916,Normal,TN,Normal,0.5956470004093717,0.5956470004093717
8080,Normal,TN,Normal,3.8318020001497644,3.8318020001497644
8146,Normal,TN,Normal,3.0536980002580094,3.0536980002580094
8153,Normal,TN,Normal,5.665057999976852,5.665057999976852
8330,Normal,TN,Normal,0.6413639998754661,0.6413639998754661
8473,Normal,TN,Normal,0.6022099996698671,0.6022099996698671
24,Normal,FP,DDoS_UDP,5.667624000125215,5.667624000125215
25,Normal,FP,DDoS_UDP,0.5544400000871974,0.5544400000871974
30,Normal,FP,DDoS_UDP,0.5353849996936333,0.5353849996936333
37,Normal,FP,DDoS_UDP,6.674625999949058,6.674625999949058
45,Normal,FP,DDoS_UDP,0.6164149999676738,0.6164149999676738
51,Normal,FP,DDoS_UDP,0.5662200001097517,0.5662200001097517
53,Normal,FP,DDoS_UDP,6.652065999787737,6.652065999787737
61,Normal,FP,DDoS_UDP,0.5551700000978599,0.5551700000978599
68,Normal,FP,DDoS_UDP,0.536524999915855,0.536524999915855
90,Normal,FP,DDoS_UDP,6.67938399965351,6.67938399965351
95,Normal,FP,DDoS_UDP,2.2453309998127224,2.2453309998127224
96,Normal,FP,DDoS_UDP,0.6237749998945219,0.6237749998945219
107,Normal,FP,DDoS_UDP,8.620058999895264,8.620058999895264
108,Normal,FP,DDoS_UDP,0.6026040000506327,0.6026040000506327
115,Normal,FP,DDoS_UDP,0.6203110001479217,0.6203110001479217
119,Normal,FP,DDoS_UDP,6.6548740001053375,6.6548740001053375
120,Normal,FP,DDoS_UDP,0.6233809999685036,0.6233809999685036
127,Normal,FP,DDoS_UDP,0.5711489998247998,0.5711489998247998
129,Normal,FP,DDoS_UDP,4.593769000166503,4.593769000166503
130,Normal,FP,DDoS_UDP,0.5625469998449262,0.5625469998449262
131,Normal,FP,DDoS_UDP,0.6125820000306703,0.6125820000306703
137,Normal,FP,DDoS_UDP,4.6467349998238205,4.6467349998238205
139,Normal,FP,DDoS_UDP,0.6176669999149453,0.6176669999149453
143,Normal,FP,DDoS_UDP,0.615610000295419,0.615610000295419
145,Normal,FP,DDoS_UDP,4.687094000018988,4.687094000018988
155,Normal,FP,DDoS_UDP,0.5846979997841117,0.5846979997841117
