packet_index,ground_truth_binary,stress_category,zdberta_prediction,inf_ms,total_ms
0,Attack,TP,Fingerprinting,553.4228040014568,553.4228040014568
1,Attack,TP,Fingerprinting,542.2892089991365,542.2892089991365
2,Attack,TP,Backdoor,545.690590999584,545.690590999584
3,Attack,TP,Fingerprinting,545.2998190012295,545.2998190012295
4,Attack,TP,Fingerprinting,545.9717579979042,545.9717579979042
5,Attack,TP,Fingerprinting,546.1498540025786,546.1498540025786
6,Attack,TP,Fingerprinting,542.9628329984553,542.9628329984553
7,Attack,TP,Fingerprinting,545.6560620004893,545.6560620004893
8,Attack,TP,Fingerprinting,541.9727849985065,541.9727849985065
9,Attack,TP,Fingerprinting,551.6845249985636,551.6845249985636
10,Attack,TP,Fingerprinting,532.4830680001469,532.4830680001469
11,Attack,TP,Fingerprinting,547.5486600007571,547.5486600007571
12,Attack,TP,Fingerprinting,592.0896070019808,592.0896070019808
13,Attack,TP,Fingerprinting,540.0996700009273,540.0996700009273
14,Attack,TP,Fingerprinting,536.9319330020517,536.9319330020517
15,Attack,TP,Fingerprinting,543.9762950009026,543.9762950009026
16,Attack,TP,Fingerprinting,546.3472189985623,546.3472189985623
17,Attack,TP,Fingerprinting,539.0008930007752,539.0008930007752
19,Attack,TP,Fingerprinting,546.8944839994947,546.8944839994947
20,Attack,TP,Fingerprinting,580.7603370012657,580.7603370012657
21,Attack,TP,Fingerprinting,554.1756669990718,554.1756669990718
22,Attack,TP,Fingerprinting,531.5498609998031,531.5498609998031
23,Attack,TP,Fingerprinting,548.5299069987377,548.5299069987377
24,Attack,TP,Fingerprinting,545.1092600014817,545.1092600014817
25,Attack,TP,Fingerprinting,558.1078510003863,558.1078510003863
26,Attack,TP,Fingerprinting,542.2197250009049,542.2197250009049
27,Attack,TP,Fingerprinting,559.4747479990474,559.4747479990474
28,Attack,TP,Fingerprinting,551.6834230002132,551.6834230002132
30,Attack,TP,Fingerprinting,566.8863079990842,566.8863079990842
31,Attack,TP,Fingerprinting,564.4903810025426,564.4903810025426
33,Attack,TP,Fingerprinting,575.9643630008213,575.9643630008213
34,Attack,TP,Fingerprinting,547.8433770003903,547.8433770003903
35,Attack,TP,Fingerprinting,529.7843480002484,529.7843480002484
36,Attack,TP,Password,538.9400720014237,538.9400720014237
38,Attack,TP,Fingerprinting,549.8220310000761,549.8220310000761
39,Attack,TP,Backdoor,543.5570349982299,543.5570349982299
40,Attack,TP,Fingerprinting,581.1548120000225,581.1548120000225
42,Attack,TP,Fingerprinting,551.1931220025872,551.1931220025872
44,Attack,TP,Fingerprinting,549.0270589980355,549.0270589980355
45,Attack,TP,Fingerprinting,544.2159180020099,544.2159180020099
46,Attack,TP,Fingerprinting,549.2341370008944,549.2341370008944
47,Attack,TP,Fingerprinting,551.054400002613,551.054400002613
48,Attack,TP,Fingerprinting,546.5284270030679,546.5284270030679
49,Attack,TP,Fingerprinting,542.2330789988337,542.2330789988337
50,Attack,TP,Fingerprinting,552.0288799998525,552.0288799998525
51,Attack,TP,Fingerprinting,545.262431998708,545.262431998708
52,Attack,TP,Fingerprinting,535.552130000724,535.552130000724
53,Attack,TP,Password,542.4353140006133,542.4353140006133
54,Attack,TP,Fingerprinting,574.7654219994729,574.7654219994729
56,Attack,TP,Fingerprinting,554.4268560006458,554.4268560006458
1478,Normal,TN,Normal,555.009797000821,555.009797000821
7564,Normal,TN,Normal,543.1205659988336,543.1205659988336
21434,Normal,TN,Normal,604.3370739971579,604.3370739971579
18,Normal,FP,Fingerprinting,553.390043998661,553.390043998661
29,Normal,FP,Fingerprinting,555.1408729988907,555.1408729988907
32,Normal,FP,Fingerprinting,541.5734809976129,541.5734809976129
37,Normal,FP,Fingerprinting,538.3294989987917,538.3294989987917
41,Normal,FP,Fingerprinting,535.9273619978921,535.9273619978921
43,Normal,FP,Fingerprinting,566.9878009975946,566.9878009975946
55,Normal,FP,Fingerprinting,539.3229850014905,539.3229850014905
59,Normal,FP,Fingerprinting,543.4908690003795,543.4908690003795
63,Normal,FP,DDoS_ICMP,549.6571799994854,549.6571799994854
67,Normal,FP,Fingerprinting,562.6339720001852,562.6339720001852
70,Normal,FP,Fingerprinting,550.895483000204,550.895483000204
73,Normal,FP,Fingerprinting,554.8088050018123,554.8088050018123
80,Normal,FP,Fingerprinting,552.6893860005657,552.6893860005657
101,Normal,FP,Fingerprinting,565.4826299978595,565.4826299978595
105,Normal,FP,Fingerprinting,557.5763989982079,557.5763989982079
121,Normal,FP,Fingerprinting,551.280827003211,551.280827003211
122,Normal,FP,Fingerprinting,560.8191799983615,560.8191799983615
134,Normal,FP,Fingerprinting,544.4897119996313,544.4897119996313
152,Normal,FP,Fingerprinting,561.5793799988751,561.5793799988751
