packet_index,ground_truth_binary,stress_category,eszsl_prediction,inf_ms,total_ms
1,Attack,TP,TCP-SYN,0.13455600014822267,0.13455600014822267
2,Attack,TP,Overflow,0.538124000058815,0.538124000058815
3,Attack,TP,TCP-SYN,0.0606389999120438,0.0606389999120438
5,Attack,TP,Overflow,0.039377999883072334,0.039377999883072334
6,Attack,TP,TCP-SYN,0.046816000121907564,0.046816000121907564
7,Attack,TP,TCP-SYN,0.03721300004144723,0.03721300004144723
8,Attack,TP,TCP-SYN,0.03999999989900971,0.03999999989900971
10,Attack,TP,Overflow,0.035460000162856886,0.035460000162856886
11,Attack,TP,TCP-SYN,0.043217999973421684,0.043217999973421684
12,Attack,TP,Overflow,0.03668600015771517,0.03668600015771517
13,Attack,TP,TCP-SYN,0.03314400009912788,0.03314400009912788
14,Attack,TP,TCP-SYN,0.0378400000045076,0.0378400000045076
15,Attack,TP,Overflow,0.0338099998771213,0.0338099998771213
16,Attack,TP,Overflow,0.035160999914296553,0.035160999914296553
17,Attack,TP,TCP-SYN,0.039701000105196727,0.039701000105196727
18,Attack,TP,TCP-SYN,0.03275600010965718,0.03275600010965718
19,Attack,TP,Overflow,0.03312300009383762,0.03312300009383762
20,Attack,TP,TCP-SYN,0.06430400003409886,0.06430400003409886
21,Attack,TP,TCP-SYN,0.035521999961929396,0.035521999961929396
22,Attack,TP,Overflow,0.03207100007784902,0.03207100007784902
23,Attack,TP,Overflow,0.03110500006187067,0.03110500006187067
24,Attack,TP,TCP-SYN,0.03270600018367986,0.03270600018367986
25,Attack,TP,TCP-SYN,0.032035000003816094,0.032035000003816094
26,Attack,TP,Overflow,0.031094999940251,0.031094999940251
28,Attack,TP,TCP-SYN,0.03200200012543064,0.03200200012543064
29,Attack,TP,TCP-SYN,0.03950400014218758,0.03950400014218758
30,Attack,TP,TCP-SYN,0.026811999987330637,0.026811999987330637
31,Attack,TP,TCP-SYN,0.03375200003574719,0.03375200003574719
32,Attack,TP,Overflow,0.02719400004025374,0.02719400004025374
33,Attack,TP,TCP-SYN,0.022389999912775238,0.022389999912775238
34,Attack,TP,Overflow,0.022964999971009092,0.022964999971009092
36,Attack,TP,TCP-SYN,0.03370500007804367,0.03370500007804367
37,Attack,TP,Overflow,0.03525000010995427,0.03525000010995427
38,Attack,TP,Overflow,0.032286999839925556,0.032286999839925556
39,Attack,TP,Overflow,0.03149100007249217,0.03149100007249217
40,Attack,TP,TCP-SYN,0.031227999897964764,0.031227999897964764
41,Attack,TP,TCP-SYN,0.03035599979739345,0.03035599979739345
42,Attack,TP,Overflow,0.033297000072707306,0.033297000072707306
43,Attack,TP,TCP-SYN,0.03489799996714282,0.03489799996714282
44,Attack,TP,TCP-SYN,0.0309810000089783,0.0309810000089783
45,Attack,TP,TCP-SYN,0.030221999850255088,0.030221999850255088
46,Attack,TP,TCP-SYN,0.03188899995620886,0.03188899995620886
47,Attack,TP,Overflow,0.04815900001631235,0.04815900001631235
48,Attack,TP,Overflow,0.037726999835285824,0.037726999835285824
49,Attack,TP,TCP-SYN,0.0378419999833568,0.0378419999833568
50,Attack,TP,Overflow,0.03221399992980878,0.03221399992980878
51,Attack,TP,TCP-SYN,0.04317799994169036,0.04317799994169036
52,Attack,TP,Overflow,0.04153500003667432,0.04153500003667432
53,Attack,TP,TCP-SYN,0.03045999983442016,0.03045999983442016
54,Attack,TP,Overflow,0.030669999887322774,0.030669999887322774
0,Normal,TN,Normal,0.03097199987678323,0.03097199987678323
35,Normal,TN,Normal,0.030804000061834813,0.030804000061834813
117,Normal,TN,Normal,0.030087999903116724,0.030087999903116724
129,Normal,TN,Normal,0.031244000183505705,0.031244000183505705
335,Normal,TN,Normal,0.0307079999402049,0.0307079999402049
605,Normal,TN,Normal,0.030736000098841032,0.030736000098841032
649,Normal,TN,Normal,0.0310929999614018,0.0310929999614018
721,Normal,TN,Normal,0.0325309999880119,0.0325309999880119
4,Normal,FP,Overflow,0.034004000099230325,0.034004000099230325
9,Normal,FP,Overflow,0.025928000013664132,0.025928000013664132
27,Normal,FP,Overflow,0.032411999882242526,0.032411999882242526
60,Normal,FP,Overflow,0.03051399994546955,0.03051399994546955
84,Normal,FP,Overflow,0.028243999850019463,0.028243999850019463
85,Normal,FP,Overflow,0.022499999886349542,0.022499999886349542
86,Normal,FP,Overflow,0.020850000055361306,0.020850000055361306
97,Normal,FP,Overflow,0.020897000013064826,0.020897000013064826
98,Normal,FP,Overflow,0.02037099989138369,0.02037099989138369
145,Normal,FP,Overflow,0.021671000013157027,0.021671000013157027
156,Normal,FP,Overflow,0.020532000007733586,0.020532000007733586
162,Normal,FP,Overflow,0.027181999939784873,0.027181999939784873
190,Normal,FP,Overflow,0.021023000044806395,0.021023000044806395
