packet_index,ground_truth_binary,stress_category,zdberta_prediction,inf_ms,total_ms
3,Attack,TP,Blackhole,250.13744000011684,250.13744000011684
5,Attack,TP,Overflow,251.3828870000907,251.3828870000907
6,Attack,TP,Blackhole,247.3277760000201,247.3277760000201
8,Attack,TP,Blackhole,241.90917500004616,241.90917500004616
11,Attack,TP,Blackhole,247.65111199985768,247.65111199985768
13,Attack,TP,Overflow,252.32573300013428,252.32573300013428
14,Attack,TP,Overflow,245.87634900012745,245.87634900012745
15,Attack,TP,Blackhole,255.022290999932,255.022290999932
16,Attack,TP,Blackhole,245.92562199995882,245.92562199995882
17,Attack,TP,Overflow,267.8947459999108,267.8947459999108
19,Attack,TP,Overflow,257.5991260000592,257.5991260000592
20,Attack,TP,Overflow,249.96523899994827,249.96523899994827
21,Attack,TP,Overflow,255.8496379999724,255.8496379999724
23,Attack,TP,Overflow,252.5048780000816,252.5048780000816
24,Attack,TP,Overflow,238.54626599995754,238.54626599995754
25,Attack,TP,Overflow,242.41069699996842,242.41069699996842
26,Attack,TP,Overflow,250.97072999983538,250.97072999983538
28,Attack,TP,Overflow,246.56890200003545,246.56890200003545
29,Attack,TP,Overflow,241.03341199997885,241.03341199997885
30,Attack,TP,Overflow,251.69011100001626,251.69011100001626
31,Attack,TP,Overflow,247.66232699994362,247.66232699994362
33,Attack,TP,Overflow,263.60256699990714,263.60256699990714
34,Attack,TP,Blackhole,239.23402600007648,239.23402600007648
36,Attack,TP,Overflow,240.61762399992404,240.61762399992404
37,Attack,TP,Blackhole,244.77931199999148,244.77931199999148
38,Attack,TP,Blackhole,246.49146299998392,246.49146299998392
39,Attack,TP,Overflow,243.10429199999817,243.10429199999817
41,Attack,TP,Overflow,248.8964090000536,248.8964090000536
42,Attack,TP,Blackhole,249.27865500012558,249.27865500012558
44,Attack,TP,Blackhole,245.88212600019688,245.88212600019688
46,Attack,TP,Blackhole,242.16928200007715,242.16928200007715
48,Attack,TP,Diversion,245.80012100000204,245.80012100000204
49,Attack,TP,Blackhole,245.70005999999012,245.70005999999012
50,Attack,TP,Overflow,249.07851700004358,249.07851700004358
51,Attack,TP,Diversion,245.58339500003967,245.58339500003967
52,Attack,TP,Blackhole,249.2199260000234,249.2199260000234
53,Attack,TP,Overflow,251.2714069998765,251.2714069998765
55,Attack,TP,Overflow,241.03364999996302,241.03364999996302
57,Attack,TP,Overflow,246.52380600014112,246.52380600014112
58,Attack,TP,Blackhole,238.76385200014738,238.76385200014738
59,Attack,TP,Blackhole,243.00160899997536,243.00160899997536
61,Attack,TP,Overflow,257.3472380001931,257.3472380001931
63,Attack,TP,Overflow,244.61202700013018,244.61202700013018
64,Attack,TP,Overflow,242.5478180000482,242.5478180000482
66,Attack,TP,Blackhole,254.7845229998984,254.7845229998984
67,Attack,TP,Overflow,240.71288000004643,240.71288000004643
68,Attack,TP,Diversion,243.0857819999801,243.0857819999801
69,Attack,TP,Overflow,246.933861999878,246.933861999878
73,Attack,TP,Blackhole,271.89326699999583,271.89326699999583
75,Attack,TP,Overflow,259.4179539999004,259.4179539999004
4,Normal,TN,Normal,255.18726399991465,255.18726399991465
9,Normal,TN,Normal,249.27530599984493,249.27530599984493
27,Normal,TN,Normal,241.91845400014245,241.91845400014245
35,Normal,TN,Normal,252.20314800003507,252.20314800003507
60,Normal,TN,Normal,246.90135500009092,246.90135500009092
85,Normal,TN,Normal,240.2568259999498,240.2568259999498
98,Normal,TN,Normal,243.9098859999831,243.9098859999831
117,Normal,TN,Normal,256.11288000004606,256.11288000004606
129,Normal,TN,Normal,248.39702899998883,248.39702899998883
145,Normal,TN,Normal,244.37289700017573,244.37289700017573
162,Normal,TN,Normal,248.7014209998506,248.7014209998506
196,Normal,TN,Normal,265.7370629999605,265.7370629999605
198,Normal,TN,Normal,255.98509900009958,255.98509900009958
225,Normal,TN,Normal,245.57104999985313,245.57104999985313
254,Normal,TN,Normal,247.36076199997115,247.36076199997115
256,Normal,TN,Normal,247.89634799981286,247.89634799981286
265,Normal,TN,Normal,246.6144659999827,246.6144659999827
277,Normal,TN,Normal,258.0789910000476,258.0789910000476
280,Normal,TN,Normal,261.4954100001796,261.4954100001796
282,Normal,TN,Normal,257.1319799999401,257.1319799999401
311,Normal,TN,Normal,244.5911330000854,244.5911330000854
313,Normal,TN,Normal,243.48953699995945,243.48953699995945
322,Normal,TN,Normal,247.1020379998663,247.1020379998663
335,Normal,TN,Normal,249.23951599998873,249.23951599998873
370,Normal,TN,Normal,247.0131059999403,247.0131059999403
375,Normal,TN,Normal,245.66161000007014,245.66161000007014
387,Normal,TN,Normal,241.91635800002587,241.91635800002587
438,Normal,TN,Normal,243.66000199984228,243.66000199984228
486,Normal,TN,Normal,244.2470799999228,244.2470799999228
497,Normal,TN,Normal,244.91059199999654,244.91059199999654
520,Normal,TN,Normal,246.98814099997435,246.98814099997435
529,Normal,TN,Normal,251.06290999997327,251.06290999997327
536,Normal,TN,Normal,260.7816460001686,260.7816460001686
577,Normal,TN,Normal,243.61762299986367,243.61762299986367
586,Normal,TN,Normal,237.0401559999209,237.0401559999209
590,Normal,TN,Normal,238.3777619998,238.3777619998
605,Normal,TN,Normal,239.85911599993415,239.85911599993415
607,Normal,TN,Normal,239.2838270000084,239.2838270000084
634,Normal,TN,Normal,274.31423200005156,274.31423200005156
649,Normal,TN,Normal,265.5400399999053,265.5400399999053
678,Normal,TN,Normal,255.34237600004417,255.34237600004417
697,Normal,TN,Normal,250.5747089999204,250.5747089999204
702,Normal,TN,Normal,250.87604600003033,250.87604600003033
748,Normal,TN,Normal,251.28580299997338,251.28580299997338
0,Normal,FP,Overflow,242.03847400008272,242.03847400008272
84,Normal,FP,Blackhole,238.50017500012655,238.50017500012655
86,Normal,FP,Blackhole,243.04740100001254,243.04740100001254
97,Normal,FP,Overflow,245.23274099988157,245.23274099988157
156,Normal,FP,Overflow,239.4055570000546,239.4055570000546
190,Normal,FP,Blackhole,249.1148310000426,249.1148310000426
251,Normal,FP,Blackhole,237.91140399998767,237.91140399998767
268,Normal,FP,Blackhole,262.7889519999371,262.7889519999371
316,Normal,FP,Overflow,272.72049499993045,272.72049499993045
336,Normal,FP,Overflow,246.4299769999343,246.4299769999343
437,Normal,FP,Blackhole,249.5775469999444,249.5775469999444
483,Normal,FP,Blackhole,247.83775399987462,247.83775399987462
505,Normal,FP,Overflow,248.46218500010764,248.46218500010764
538,Normal,FP,Overflow,245.41613799988227,245.41613799988227
546,Normal,FP,Overflow,244.9177690000397,244.9177690000397
581,Normal,FP,Overflow,246.23575400005393,246.23575400005393
644,Normal,FP,Blackhole,244.63503199990555,244.63503199990555
670,Normal,FP,Overflow,244.84855300011077,244.84855300011077
687,Normal,FP,Blackhole,242.40839799995229,242.40839799995229
721,Normal,FP,Blackhole,243.51363400000992,243.51363400000992
727,Normal,FP,Blackhole,246.22605599984126,246.22605599984126
1,Attack,FN,Normal,241.20293900000433,241.20293900000433
2,Attack,FN,Normal,242.9092770000807,242.9092770000807
7,Attack,FN,Normal,243.31443599999147,243.31443599999147
10,Attack,FN,Normal,243.25097400014783,243.25097400014783
12,Attack,FN,Normal,250.22396599979402,250.22396599979402
18,Attack,FN,Normal,241.0100849999708,241.0100849999708
22,Attack,FN,Normal,246.73643199980688,246.73643199980688
32,Attack,FN,Normal,254.55525700022008,254.55525700022008
40,Attack,FN,Normal,242.31215400004658,242.31215400004658
43,Attack,FN,Normal,234.4858160001877,234.4858160001877
45,Attack,FN,Normal,241.38285000003634,241.38285000003634
47,Attack,FN,Normal,246.0893610000312,246.0893610000312
54,Attack,FN,Normal,236.93808699999863,236.93808699999863
56,Attack,FN,Normal,240.773106000006,240.773106000006
62,Attack,FN,Normal,248.7214100001438,248.7214100001438
65,Attack,FN,Normal,262.9257599999164,262.9257599999164
70,Attack,FN,Normal,252.88352400002623,252.88352400002623
71,Attack,FN,Normal,247.8510579999238,247.8510579999238
72,Attack,FN,Normal,250.61820600012652,250.61820600012652
74,Attack,FN,Normal,249.082529999896,249.082529999896
78,Attack,FN,Normal,246.6131400001359,246.6131400001359
81,Attack,FN,Normal,246.18101199985176,246.18101199985176
89,Attack,FN,Normal,257.9354090000834,257.9354090000834
92,Attack,FN,Normal,248.6067439999715,248.6067439999715
95,Attack,FN,Normal,245.81824100005178,245.81824100005178
101,Attack,FN,Normal,245.88757899982738,245.88757899982738
102,Attack,FN,Normal,261.71126899998853,261.71126899998853
103,Attack,FN,Normal,275.019322000162,275.019322000162
104,Attack,FN,Normal,245.3919310000856,245.3919310000856
106,Attack,FN,Normal,246.99798500000725,246.99798500000725
107,Attack,FN,Normal,243.930298000123,243.930298000123
108,Attack,FN,Normal,238.6618450000242,238.6618450000242
110,Attack,FN,Normal,238.83106299990686,238.83106299990686
111,Attack,FN,Normal,240.59122000016941,240.59122000016941
114,Attack,FN,Normal,247.177456999907,247.177456999907
118,Attack,FN,Normal,238.54612500008443,238.54612500008443
119,Attack,FN,Normal,243.86881899999935,243.86881899999935
121,Attack,FN,Normal,237.6754060001076,237.6754060001076
123,Attack,FN,Normal,247.2746000000825,247.2746000000825
126,Attack,FN,Normal,252.75052000006326,252.75052000006326
133,Attack,FN,Normal,244.83384300015132,244.83384300015132
134,Attack,FN,Normal,244.04046299991933,244.04046299991933
137,Attack,FN,Normal,246.53246200000467,246.53246200000467
139,Attack,FN,Normal,246.47235499992348,246.47235499992348
140,Attack,FN,Normal,252.525642999899,252.525642999899
143,Attack,FN,Normal,240.6480630002079,240.6480630002079
144,Attack,FN,Normal,245.42225299978782,245.42225299978782
146,Attack,FN,Normal,244.90734999994856,244.90734999994856
151,Attack,FN,Normal,248.69308999996065,248.69308999996065
152,Attack,FN,Normal,234.7337480000533,234.7337480000533
